,Unnamed: 0,total_module,total_time,total,normal_price,retail_price,rent_price,total_student,total_rating,total_feedback
209,209,13,1,118,149000,149000,49000.0,1121,4.7,96
210,210,60,5,106,199000,199000,79000.0,959,4.8,235
211,211,43,2,74,199000,199000,79000.0,291,4.8,47
212,212,24,4,72,149000,149000,49000.0,243,4.9,28
213,213,35,4,62,199000,199000,79000.0,152,4.8,32
214,214,17,2,57,349000,109000,70000.0,54,4.5,17
215,215,79,11,54,249000,249000,99000.0,102,5.0,6
216,216,55,5,48,199000,199000,79000.0,2221,4.8,219
217,217,12,1,45,149000,149000,49000.0,979,4.7,115
218,218,62,12,45,250000,99000,70000.0,124,4.8,10
219,219,57,4,40,199000,199000,79000.0,1099,4.8,165
220,220,21,3,37,149000,149000,49000.0,503,4.8,64
221,221,27,2,35,149000,149000,49000.0,518,4.8,293
222,222,125,8,34,399000,399000,0.0,39,5.0,3
223,223,101,8,31,400000,400000,0.0,29,5.0,2
224,224,33,3,31,250000,250000,99000.0,25,4.8,5
225,225,69,4,30,400000,400000,0.0,33,5.0,1
226,226,19,1,29,149000,149000,49000.0,1230,4.8,303
227,227,12,1,29,149000,149000,49000.0,775,4.7,102
228,228,60,5,29,199000,199000,79000.0,316,4.9,91
229,229,22,1,27,149000,149000,49000.0,428,4.8,87
230,230,98,10,27,400000,400000,0.0,20,0.0,0
231,231,21,4,26,149000,149000,49000.0,509,4.7,39
232,232,30,3,26,149000,149000,49000.0,1759,4.8,2151
233,233,11,1,25,149000,149000,49000.0,728,4.7,122
234,234,4,24,25,250000,250000,70000.0,14,4.0,2
235,235,12,2,24,250000,250000,70000.0,23,5.0,4
236,236,21,2,22,149000,149000,49000.0,261,4.6,61
237,237,83,4,21,199000,199000,99000.0,1033,4.7,706
238,238,23,1,20,149000,149000,49000.0,509,4.8,128
239,239,21,2,19,149000,149000,49000.0,724,4.7,74
240,240,59,2,19,199000,199000,79000.0,243,4.6,8
241,241,16,2,18,149000,149000,49000.0,219,4.8,57
242,242,21,1,18,149000,149000,49000.0,17,5.0,21
243,243,8,1,17,149000,149000,49000.0,113,4.8,32
244,244,79,8,16,400000,400000,0.0,23,5.0,1
245,245,17,4,15,149000,149000,49000.0,797,4.6,84
246,246,25,1,15,149000,149000,49000.0,225,4.9,42
247,247,39,3,14,149000,149000,49000.0,1198,4.7,1194
248,248,13,1,13,149000,149000,49000.0,715,4.8,96
249,249,31,3,13,199000,199000,79000.0,476,4.8,77
