,title,status,level,author
234,Jago React Native dengan Membuat Movie App,publish,beginner,Hakim Sembiring Meliala
235,Jago Fullstack JavaScript dengan Membuat Blog,publish,beginner,Hakim Sembiring Meliala
236,Membuat Aplikasi Quiz dengan RecyclerView - Kotlin,publish,intermediate,Aulia Rahman
237,Belajar JavaScript,publish,beginner,Ahmad Hakim
238,1 Jam Bisa Membuat Game dengan Construct 3,publish,beginner,Ahmad Hakim
239,Sistem Otentikasi API Berbasis OAuth dengan Laravel Passport,publish,intermediate,Ahmad Hakim
240,Membuat Aplikasi Music Player di Android - Kotlin,publish,intermediate,Aulia Rahman
241,Membuat Chat bot Pintar di Telegram : Studi kasus Bot Info Covid-19,publish,intermediate,Ahmad Hakim
242,Belajar Membangun RESTful dengan Adonis.js,publish,beginner,Ahmad Hakim
243,Optimasi Kinerja Laravel dengan Redis,publish,beginner,Ahmad Hakim
244,"Membangun Toko Online Dengan Laravel, Vue Js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
245,Implementasi Firebase Auth di Android - Kotlin,publish,beginner,Aulia Rahman
246,Membuat Website Profile Perusahaan Tanpa Coding dengan Mobirise,publish,beginner,Yusuf Fazeri
247,Belajar Dasar CSS,publish,beginner,0
248,Membangun Aplikasi Cek Ongkir Menggunakan Laravel,publish,intermediate,Ahmad Hakim
249,Belajar Vue.js 3 dan Firebase Studi Kasus Blog,publish,beginner,Ahmad Hakim
